RTENAME,StateNm,RouteID,U_S_R_I,id,ppt00_mean,ppt01_mean,ppt15_mean,ppt16_mean,tmean00_me,tmean01_me,tmean15_me,tmean16_me
ELKMONT,02,072,02_072,1,1172.309999999990000,1666.774285714280000,1603.641428571420000,1199.881428571420000,16.110000000000000,15.411428571428500,15.151428571428500,15.531428571428500
ELKMONT,02,072,02_072,2,1177.554285714280000,1664.668571428570000,1595.791428571420000,1233.798571428570000,16.124285714285700,15.438571428571400,15.131428571428500,15.507142857142800
ELKMONT,02,072,02_072,3,1180.484999999990000,1659.378333333330000,1585.184999999990000,1297.284999999990000,16.353333333333300,15.663333333333300,15.230000000000000,15.604999999999900
ELKMONT,02,072,02_072,4,1187.674285714280000,1662.574285714280000,1601.362857142850000,1331.874285714280000,16.681428571428500,15.954285714285700,15.452857142857100,15.844285714285700
ELKMONT,02,072,02_072,5,1201.440000000000000,1668.931428571420000,1608.741428571420000,1327.764285714280000,16.785714285714200,16.061428571428500,15.431428571428500,15.801428571428500
ST FLORIAN,02,001,02_001,6,1069.647142857140000,1692.420000000000000,1491.434285714280000,1140.374285714280000,16.998571428571400,16.141428571428500,15.595714285714200,15.965714285714200
ST FLORIAN,02,001,02_001,7,1085.566000000000000,1703.911999999990000,1475.222000000000000,1138.822000000000000,17.044000000000000,16.194000000000000,15.680000000000000,16.097999999999900
ST FLORIAN,02,001,02_001,8,1075.141428571420000,1690.850000000000000,1472.352857142850000,1116.527142857140000,17.164285714285700,16.309999999999900,15.815714285714200,16.305714285714200
ST FLORIAN,02,001,02_001,9,1059.540000000000000,1661.672857142850000,1517.587142857140000,1118.764285714280000,17.167142857142800,16.334285714285700,15.815714285714200,16.374285714285700
ST FLORIAN,02,001,02_001,10,1053.443333333330000,1639.211666666660000,1530.439999999990000,1121.578333333330000,17.020000000000000,16.208333333333300,15.670000000000000,16.240000000000000
SWAIM,02,007,02_007,11,1359.173749999990000,1649.926249999990000,1621.914999999990000,1125.134999999990000,16.567499999999900,15.813749999999900,15.342500000000000,15.571249999999900
SWAIM,02,007,02_007,12,1387.019999999990000,1674.813750000000000,1591.642499999990000,1062.392499999990000,16.817499999999900,16.122500000000000,15.772500000000000,15.934999999999900
SWAIM,02,007,02_007,13,1418.534285714280000,1696.241428571420000,1629.708571428570000,1098.620000000000000,16.441428571428500,15.771428571428500,15.305714285714200,15.488571428571400
SWAIM,02,007,02_007,14,1464.518750000000000,1719.517500000000000,1660.021250000000000,1163.975000000000000,15.993750000000000,15.430000000000000,14.877500000000000,15.063749999999900
SWAIM,02,007,02_007,15,1498.874999999990000,1736.006666666660000,1617.201666666660000,1178.134999999990000,15.931666666666600,15.441666666666600,14.801666666666600,15.006666666666600
VINA,02,201,02_201,16,1134.601666666660000,1771.028333333330000,1734.431666666660000,1262.123333333330000,17.161666666666600,16.356666666666600,15.880000000000000,16.264999999999900
VINA,02,201,02_201,17,1142.793333333330000,1783.876666666660000,1662.244999999990000,1271.766666666660000,17.198333333333300,16.363333333333300,15.944999999999900,16.333333333333300
VINA,02,201,02_201,18,1151.342857142850000,1787.111428571420000,1610.380000000000000,1262.132857142850000,17.108571428571400,16.272857142857100,15.920000000000000,16.322857142857100
VINA,02,201,02_201,19,1152.961666666660000,1792.396666666660000,1586.585000000000000,1244.926666666660000,17.086666666666600,16.258333333333300,15.848333333333300,16.251666666666600
VINA,02,201,02_201,20,1149.563333333330000,1779.971666666660000,1537.340000000000000,1219.398333333330000,16.973333333333300,16.171666666666600,15.683333333333300,16.098333333333300
PINE GROVE,02,008,02_008,21,1125.042857142850000,1451.221428571420000,1483.298571428570000,986.578571428571000,17.177142857142800,16.528571428571400,15.855714285714200,15.867142857142800
PINE GROVE,02,008,02_008,22,1141.936666666660000,1443.388333333330000,1423.710000000000000,993.731666666666000,17.074999999999900,16.360000000000000,15.814999999999900,15.796666666666600
PINE GROVE,02,008,02_008,23,1142.127142857140000,1417.171428571420000,1452.234285714280000,999.977142857142000,17.129999999999900,16.394285714285700,15.844285714285700,15.801428571428500
PINE GROVE,02,008,02_008,24,1147.450000000000000,1374.126666666660000,1541.438333333330000,1034.391666666660000,17.168333333333300,16.426666666666600,15.805000000000000,15.716666666666600
PINE GROVE,02,008,02_008,25,1157.451666666660000,1363.658333333330000,1595.488333333330000,1044.815000000000000,17.073333333333300,16.316666666666600,15.673333333333300,15.585000000000000
BROOKSVILLE,02,105,02_105,26,1249.194999999990000,1615.799999999990000,1580.503333333330000,1214.041666666660000,17.029999999999900,16.328333333333300,15.965000000000000,16.238333333333300
BROOKSVILLE,02,105,02_105,27,1229.528333333330000,1598.691666666660000,1561.481666666660000,1159.724999999990000,17.131666666666600,16.418333333333300,15.985000000000000,16.250000000000000
BROOKSVILLE,02,105,02_105,28,1195.301666666660000,1575.211666666660000,1533.901666666660000,1140.748333333330000,17.303333333333300,16.578333333333300,16.028333333333300,16.291666666666600
BROOKSVILLE,02,105,02_105,29,1180.246249999990000,1559.934999999990000,1545.626249999990000,1089.278749999990000,17.317499999999900,16.584999999999900,16.038750000000000,16.276250000000000
BROOKSVILLE,02,105,02_105,30,1213.484999999990000,1576.921666666660000,1602.460000000000000,1035.279999999990000,17.178333333333300,16.458333333333300,16.003333333333300,16.213333333333300
CHOCCOLOCCO,02,111,02_111,31,1054.136666666660000,1305.379999999990000,1720.055000000000000,938.933333333333000,17.148333333333300,16.730000000000000,15.651666666666600,15.744999999999900
CHOCCOLOCCO,02,111,02_111,32,1071.022500000000000,1310.691250000000000,1702.681249999990000,960.514999999999000,17.123749999999900,16.717500000000000,15.606250000000000,15.712499999999900
CHOCCOLOCCO,02,111,02_111,33,1052.910000000000000,1306.141428571420000,1660.875714285710000,992.421428571428000,17.069999999999900,16.652857142857100,15.569999999999900,15.655714285714200
CHOCCOLOCCO,02,111,02_111,34,1012.548571428570000,1304.525714285710000,1626.284285714280000,1015.765714285710000,16.809999999999900,16.375714285714200,15.418571428571400,15.467142857142800
CHOCCOLOCCO,02,111,02_111,35,984.816666666666000,1304.811666666660000,1615.998333333330000,983.401666666666000,16.733333333333300,16.270000000000000,15.420000000000000,15.455000000000000
MAYTOWN,02,017,02_017,36,1085.278333333330000,1572.839999999990000,1536.643333333330000,1051.329999999990000,18.609999999999900,18.026666666666600,17.101666666666600,17.413333333333300
MAYTOWN,02,017,02_017,37,1097.671428571420000,1565.625714285710000,1572.545714285710000,1069.734285714280000,18.338571428571400,17.838571428571400,16.940000000000000,17.210000000000000
MAYTOWN,02,017,02_017,38,1111.036666666660000,1547.793333333330000,1632.198333333330000,1096.216666666660000,18.219999999999900,17.761666666666600,16.843333333333300,17.099999999999900
MAYTOWN,02,017,02_017,39,1113.149999999990000,1527.032857142850000,1677.918571428570000,1145.347142857140000,18.132857142857100,17.695714285714200,16.732857142857100,16.990000000000000
MAYTOWN,02,017,02_017,40,1135.323333333330000,1528.133333333330000,1735.795000000000000,1225.140000000000000,17.988333333333300,17.565000000000000,16.586666666666600,16.843333333333300
LIBERTY,02,019,02_019,41,1022.838333333330000,1612.278333333330000,1466.858333333330000,1131.438333333330000,18.191666666666600,17.478333333333300,16.631666666666600,16.985000000000000
LIBERTY,02,019,02_019,42,1015.541666666660000,1667.438333333330000,1508.256666666660000,1160.169999999990000,18.213333333333300,17.503333333333300,16.675000000000000,17.025000000000000
