RTENAME,StateNm,RouteID,U_S_R_I,id,h16_0,h16_11,h16_12,h16_21,h16_22,h16_23,h16_24,h16_31,h16_41,h16_42,h16_43,h16_52,h16_71,h16_81,h16_82,h16_90,h16_95
ELKMONT,02,072,02_072,1,0,87,0,7069,956,270,67,3,26918,2246,2850,910,1492,57113,14521,5758,686
ELKMONT,02,072,02_072,2,0,118,0,6717,496,100,51,0,29184,1812,2220,864,1669,56388,17767,4355,632
ELKMONT,02,072,02_072,3,0,216,0,5841,463,110,33,52,41876,1661,2274,755,1494,45949,14250,5298,489
ELKMONT,02,072,02_072,4,0,1575,0,4878,335,72,11,55,52678,2358,2818,830,1322,33861,13993,5940,245
ELKMONT,02,072,02_072,5,0,1420,0,4592,632,179,49,185,55796,2351,3015,962,1331,31489,14476,3773,172
ST FLORIAN,02,001,02_001,6,0,23000,0,2671,296,14,0,12,52886,9500,5642,9755,2945,12110,2290,2120,194
ST FLORIAN,02,001,02_001,7,0,3606,0,4766,556,48,4,2,29098,5663,4046,6470,1707,38229,27827,2552,171
ST FLORIAN,02,001,02_001,8,0,164,0,6425,1547,287,74,15,16413,1725,2924,1383,480,49468,34632,7157,535
ST FLORIAN,02,001,02_001,9,0,155,0,16573,13189,3926,1106,78,22634,1559,4132,1387,1153,35270,9280,7568,552
ST FLORIAN,02,001,02_001,10,0,2702,0,20711,16578,5999,2335,86,25138,2485,4083,1090,1172,31815,4270,3173,262
SWAIM,02,007,02_007,11,0,554,0,6284,3342,657,100,18,45709,1453,3447,954,541,36042,24893,2486,121
SWAIM,02,007,02_007,12,0,343,0,3934,2145,362,46,23,58310,760,2571,959,955,26164,25337,2229,356
SWAIM,02,007,02_007,13,0,310,0,2289,831,122,13,12,73912,1139,3530,904,1624,21845,20114,2667,408
SWAIM,02,007,02_007,14,0,108,0,2152,241,19,3,10,91851,1762,5128,2390,2083,15476,12631,2404,310
SWAIM,02,007,02_007,15,0,20,0,2511,176,11,1,4,91013,1420,5701,3114,1764,15323,8452,850,205
VINA,02,201,02_201,16,0,50,0,4186,1071,181,34,26,41722,19404,12856,24912,5372,9888,559,3608,248
VINA,02,201,02_201,17,0,112,0,4124,1223,207,36,91,40049,17248,11965,20938,7553,13334,6460,2121,332
VINA,02,201,02_201,18,0,144,0,3960,1418,265,6,148,42903,22112,13354,8106,7033,18328,6607,2295,339
VINA,02,201,02_201,19,0,106,0,3132,1034,176,6,75,43921,30748,12025,5621,4012,17628,848,1056,145
VINA,02,201,02_201,20,0,3456,0,2610,787,79,1,28,41478,30839,10886,3284,2287,13568,1516,937,206
PINE GROVE,02,008,02_008,21,0,1225,0,3648,801,87,35,374,30297,30844,12051,6802,9974,15542,10155,6564,363
PINE GROVE,02,008,02_008,22,0,4592,0,6828,6148,1672,645,183,14374,25304,11238,4322,6642,18592,23198,940,365
PINE GROVE,02,008,02_008,23,0,41758,0,7401,7587,2014,703,941,11530,8304,7362,1805,5851,15182,13473,1100,406
PINE GROVE,02,008,02_008,24,0,34668,0,5370,2571,471,92,1091,25684,11258,8897,3341,8876,16740,3980,1265,368
PINE GROVE,02,008,02_008,25,0,4280,0,4470,984,92,9,252,36733,20880,12196,6710,6519,21593,1811,474,124
BROOKSVILLE,02,105,02_105,26,0,563,0,5689,968,172,64,76,57582,7856,7835,3173,3003,34669,123,225,138
BROOKSVILLE,02,105,02_105,27,0,850,0,6062,2187,496,162,100,40524,9506,9919,4087,2591,40944,493,395,235
BROOKSVILLE,02,105,02_105,28,0,1095,0,5363,1534,453,153,83,28077,11260,11098,3539,1996,51878,378,696,346
BROOKSVILLE,02,105,02_105,29,0,1062,0,5656,1324,347,57,252,30521,8676,10097,5669,3171,62906,891,494,206
BROOKSVILLE,02,105,02_105,30,0,557,0,5056,1590,446,131,585,36115,6270,9235,5745,4597,55372,2216,203,29
CHOCCOLOCCO,02,111,02_111,31,0,476,0,11330,4336,948,450,264,50769,13432,7664,2321,2673,22005,2901,583,342
CHOCCOLOCCO,02,111,02_111,32,0,347,0,6965,1008,173,35,157,48604,18592,7202,6366,4158,20170,2287,809,126
CHOCCOLOCCO,02,111,02_111,33,0,1562,0,4041,451,195,80,88,52080,20605,8274,5785,5184,19345,3991,640,154
CHOCCOLOCCO,02,111,02_111,34,0,1486,0,3783,299,121,18,83,54676,16336,11025,2105,2623,21430,4473,139,48
CHOCCOLOCCO,02,111,02_111,35,0,124,0,3733,342,43,2,51,60808,14190,14160,1451,2345,20893,799,81,26
MAYTOWN,02,017,02_017,36,0,147,0,8733,3445,627,135,304,42810,36490,16594,4571,4894,2544,13,267,0
MAYTOWN,02,017,02_017,37,0,2573,0,5398,482,165,18,1141,39265,39249,16347,3737,5454,1621,9,731,34
MAYTOWN,02,017,02_017,38,0,4591,0,6276,457,200,46,1209,40516,36856,19073,6758,4060,1712,34,1714,100
MAYTOWN,02,017,02_017,39,0,4515,0,4900,331,294,117,2079,40149,36925,20822,6818,4024,1626,2,1767,96
MAYTOWN,02,017,02_017,40,0,4132,0,6721,1382,1109,286,3053,34827,33010,23542,5886,5165,2705,114,1168,118
LIBERTY,02,019,02_019,41,0,369,0,3987,254,16,0,34,18936,24253,39237,10150,7366,6464,145,16226,1692
LIBERTY,02,019,02_019,42,0,346,0,4662,1035,172,59,31,17507,15782,30030,9004,8665,6197,109,22375,4072
LIBERTY,02,019,02_019,43,0,499,0,5641,1105,202,66,66,19597,15241,29647,10374,6238,12224,5,22492,2971
LIBERTY,02,019,02_019,44,0,232,0,5726,293,16,0,33,23614,19849,34624,12140,5890,12275,3,10269,256
LIBERTY,02,019,02_019,45,0,233,0,5972,387,18,0,31,28790,18989,33151,11943,8310,8134,43,10972,867
HOLT,02,060,02_060,46,0,8807,0,6225,1159,67,3,51,30727,27668,25055,3933,5258,8507,6,2589,84
HOLT,02,060,02_060,47,0,358,0,2690,360,45,0,854,32384,44697,17431,7474,7664,1744,0,1389,32
HOLT,02,060,02_060,48,0,3287,0,3359,306,22,1,887,35083,46240,16623,13260,6655,940,0,999,58
HOLT,02,060,02_060,49,0,4872,0,4069,297,21,4,147,30682,31157,16214,14522,8781,2198,0,1046,60
HOLT,02,060,02_060,50,0,9384,0,5205,774,117,9,349,38695,29923,19081,17083,7094,1901,0,1326,147
SMYER LAKE,02,014,02_014,51,0,837,0,6898,1992,1024,374,170,32950,45791,10861,11273,6145,13264,162,1100,57
SMYER LAKE,02,014,02_014,52,0,1662,0,5970,1675,752,298,206,30666,45931,6460,12763,10098,11483,15,5904,233
SMYER LAKE,02,014,02_014,53,0,2046,0,11679,5171,2009,296,663,45893,18543,7536,5800,5414,9287,22,6858,225
SMYER LAKE,02,014,02_014,54,0,2219,0,15277,9848,3787,609,482,56666,9162,8459,1848,2281,3389,10,1450,24
SMYER LAKE,02,014,02_014,55,0,3623,0,18631,11774,4320,511,183,67345,10056,9550,1216,2259,2544,10,262,11
JENA,02,047,02_047,56,0,365,0,3299,551,62,7,16,17822,13707,20419,5257,4460,13615,1174,34840,1619
JENA,02,047,02_047,57,0,948,0,4544,1040,155,18,69,26882,13137,20667,4683,3036,13930,168,38077,1089
JENA,02,047,02_047,58,0,1344,0,4172,1077,83,8,221,23193,11308,19453,6277,5391,10604,485,38328,1282
