RTENAME,StateNm,RouteID,U_S_R_I,id,tmean.t1,tmean.t2
ELKMONT,02,072,02_072,1,22.089,22.039
ELKMONT,02,072,02_072,2,22.050,22.071
ELKMONT,02,072,02_072,3,22.160,22.326
ELKMONT,02,072,02_072,4,22.451,22.671
ELKMONT,02,072,02_072,5,22.470,22.792
ST FLORIAN,02,001,02_001,6,22.516,22.801
ST FLORIAN,02,001,02_001,7,22.602,22.845
ST FLORIAN,02,001,02_001,8,22.793,22.964
ST FLORIAN,02,001,02_001,9,22.835,22.974
ST FLORIAN,02,001,02_001,10,22.706,22.855
SWAIM,02,007,02_007,11,22.280,22.606
SWAIM,02,007,02_007,12,22.597,22.753
SWAIM,02,007,02_007,13,22.104,22.473
SWAIM,02,007,02_007,14,21.622,22.167
SWAIM,02,007,02_007,15,21.608,22.150
VINA,02,201,02_201,16,22.760,23.068
VINA,02,201,02_201,17,22.803,23.088
VINA,02,201,02_201,18,22.777,23.002
VINA,02,201,02_201,19,22.703,22.973
VINA,02,201,02_201,20,22.537,22.839
PINE GROVE,02,008,02_008,21,22.553,23.233
PINE GROVE,02,008,02_008,22,22.550,23.175
PINE GROVE,02,008,02_008,23,22.561,23.218
PINE GROVE,02,008,02_008,24,22.466,23.250
PINE GROVE,02,008,02_008,25,22.319,23.140
BROOKSVILLE,02,105,02_105,26,22.558,22.657
BROOKSVILLE,02,105,02_105,27,22.627,22.820
BROOKSVILLE,02,105,02_105,28,22.697,23.008
BROOKSVILLE,02,105,02_105,29,22.738,23.073
BROOKSVILLE,02,105,02_105,30,22.712,22.985
CHOCCOLOCCO,02,111,02_111,31,22.008,22.867
CHOCCOLOCCO,02,111,02_111,32,21.947,22.848
CHOCCOLOCCO,02,111,02_111,33,21.882,22.773
CHOCCOLOCCO,02,111,02_111,34,21.688,22.497
CHOCCOLOCCO,02,111,02_111,35,21.755,22.490
MAYTOWN,02,017,02_017,36,23.552,24.092
MAYTOWN,02,017,02_017,37,23.406,23.902
MAYTOWN,02,017,02_017,38,23.304,23.839
MAYTOWN,02,017,02_017,39,23.194,23.821
MAYTOWN,02,017,02_017,40,23.038,23.757
LIBERTY,02,019,02_019,41,23.405,24.000
LIBERTY,02,019,02_019,42,23.439,23.987
LIBERTY,02,019,02_019,43,23.327,23.880
LIBERTY,02,019,02_019,44,23.070,23.684
LIBERTY,02,019,02_019,45,22.928,23.548
HOLT,02,060,02_060,46,23.440,23.919
HOLT,02,060,02_060,47,23.221,23.801
HOLT,02,060,02_060,48,23.287,23.846
HOLT,02,060,02_060,49,23.437,23.922
HOLT,02,060,02_060,50,23.730,24.089
SMYER LAKE,02,014,02_014,51,23.460,24.081
SMYER LAKE,02,014,02_014,52,23.438,24.150
SMYER LAKE,02,014,02_014,53,23.214,24.088
SMYER LAKE,02,014,02_014,54,23.122,24.245
SMYER LAKE,02,014,02_014,55,23.099,24.469
JENA,02,047,02_047,56,23.913,24.174
JENA,02,047,02_047,57,23.909,24.176
JENA,02,047,02_047,58,23.888,24.165
JENA,02,047,02_047,59,23.736,24.073
JENA,02,047,02_047,60,23.527,23.976
BLOCTON,02,043,02_043,61,23.772,24.115
BLOCTON,02,043,02_043,62,23.767,24.121
BLOCTON,02,043,02_043,63,23.821,24.161
BLOCTON,02,043,02_043,64,23.832,24.184
BLOCTON,02,043,02_043,65,23.809,24.156
LANETT,02,028,02_028,66,23.179,23.991
LANETT,02,028,02_028,67,22.968,23.875
LANETT,02,028,02_028,68,22.781,23.684
LANETT,02,028,02_028,69,22.671,23.504
LANETT,02,028,02_028,70,22.622,23.430
EPES,02,048,02_048,71,23.950,24.122
EPES,02,048,02_048,72,23.915,24.107
EPES,02,048,02_048,73,23.904,24.112
EPES,02,048,02_048,74,23.900,24.133
EPES,02,048,02_048,75,23.923,24.175
BILLINGSLEY,02,025,02_025,76,23.688,24.126
BILLINGSLEY,02,025,02_025,77,23.537,23.873
BILLINGSLEY,02,025,02_025,78,23.392,23.709
BILLINGSLEY,02,025,02_025,79,23.475,23.741
BILLINGSLEY,02,025,02_025,80,23.812,23.943
WALLSBORO,02,026,02_026,81,23.905,24.530
WALLSBORO,02,026,02_026,82,23.846,24.472
WALLSBORO,02,026,02_026,83,24.122,24.743
WALLSBORO,02,026,02_026,84,24.114,24.715
WALLSBORO,02,026,02_026,85,23.863,24.411
WARRIOR STD,02,027,02_027,86,23.588,24.197
WARRIOR STD,02,027,02_027,87,23.607,24.275
WARRIOR STD,02,027,02_027,88,23.587,24.275
WARRIOR STD,02,027,02_027,89,23.580,24.230
WARRIOR STD,02,027,02_027,90,23.433,24.049
HARRELL,02,022,02_022,91,24.311,24.202
HARRELL,02,022,02_022,92,24.412,24.178
HARRELL,02,022,02_022,93,24.452,24.168
HARRELL,02,022,02_022,94,24.564,24.170
HARRELL,02,022,02_022,95,24.580,24.155
COTTONTON,02,029,02_029,96,23.668,24.189
COTTONTON,02,029,02_029,97,23.667,24.148
COTTONTON,02,029,02_029,98,23.663,24.166
COTTONTON,02,029,02_029,99,23.642,24.156
COTTONTON,02,029,02_029,100,23.667,24.162
SPRAGUE,02,024,02_024,101,23.698,24.108
SPRAGUE,02,024,02_024,102,23.834,24.233
SPRAGUE,02,024,02_024,103,24.048,24.509
SPRAGUE,02,024,02_024,104,24.166,24.646
SPRAGUE,02,024,02_024,105,24.268,24.882
ELAMVILLE,02,055,02_055,106,24.517,24.812
ELAMVILLE,02,055,02_055,107,24.613,24.910
ELAMVILLE,02,055,02_055,108,24.630,24.931
ELAMVILLE,02,055,02_055,109,24.459,24.862
ELAMVILLE,02,055,02_055,110,24.439,24.879
CASTLEBERRY,02,038,02_038,111,24.706,24.475
CASTLEBERRY,02,038,02_038,112,24.652,24.386
CASTLEBERRY,02,038,02_038,113,24.619,24.367
CASTLEBERRY,02,038,02_038,114,24.557,24.401
CASTLEBERRY,02,038,02_038,115,24.512,24.509
ESCATAWPA,02,052,02_052,116,24.784,24.985
ESCATAWPA,02,052,02_052,117,24.754,24.990
ESCATAWPA,02,052,02_052,118,24.758,24.920
ESCATAWPA,02,052,02_052,119,24.756,24.856
ESCATAWPA,02,052,02_052,120,24.726,24.840
FAIRVIEW,02,054,02_054,121,24.746,25.011
FAIRVIEW,02,054,02_054,122,24.636,24.895
FAIRVIEW,02,054,02_054,123,24.577,24.922
FAIRVIEW,02,054,02_054,124,24.637,24.988
FAIRVIEW,02,054,02_054,125,24.706,24.939
MCLELLAN,02,035,02_035,126,24.722,24.903
MCLELLAN,02,035,02_035,127,24.518,24.650
MCLELLAN,02,035,02_035,128,24.565,24.871
MCLELLAN,02,035,02_035,129,24.728,25.224
MCLELLAN,02,035,02_035,130,24.766,25.475
BAY MINETTE,02,218,02_218,131,25.122,24.953
BAY MINETTE,02,218,02_218,132,25.205,25.034
BAY MINETTE,02,218,02_218,133,25.218,25.104
BAY MINETTE,02,218,02_218,134,25.134,25.035
BAY MINETTE,02,218,02_218,135,25.112,24.980
PEACH SPRING,06,107,06_107,136,22.798,21.051
PEACH SPRING,06,107,06_107,137,22.220,20.465
PEACH SPRING,06,107,06_107,138,21.924,20.283
PEACH SPRING,06,107,06_107,139,21.524,19.840
PEACH SPRING,06,107,06_107,140,21.119,19.429
SELIGMAN,06,108,06_108,141,20.390,18.652
SELIGMAN,06,108,06_108,142,19.321,17.723
SELIGMAN,06,108,06_108,143,18.964,17.447
SELIGMAN,06,108,06_108,144,19.349,17.853
SELIGMAN,06,108,06_108,145,19.307,17.829
OATMAN,06,012,06_012,146,32.140,30.282
OATMAN,06,012,06_012,147,31.676,29.795
OATMAN,06,012,06_012,148,30.662,28.688
OATMAN,06,012,06_012,149,29.344,27.258
OATMAN,06,012,06_012,150,29.983,27.930
HAPPY JACK,06,115,06_115,151,14.156,12.783
HAPPY JACK,06,115,06_115,152,14.496,12.935
HAPPY JACK,06,115,06_115,153,15.285,13.680
HAPPY JACK,06,115,06_115,154,16.005,14.413
HAPPY JACK,06,115,06_115,155,15.977,14.411
WIKIEUP,06,013,06_013,156,28.544,26.431
WIKIEUP,06,013,06_013,157,27.395,25.211
WIKIEUP,06,013,06_013,158,26.571,24.431
WIKIEUP,06,013,06_013,159,26.152,24.086
WIKIEUP,06,013,06_013,160,25.983,23.803
ALAMO RES.,06,063,06_063,161,29.993,28.150
ALAMO RES.,06,063,06_063,162,29.542,27.717
ALAMO RES.,06,063,06_063,163,29.141,27.237
ALAMO RES.,06,063,06_063,164,28.450,26.624
ALAMO RES.,06,063,06_063,165,27.988,26.199
NEW RIVER,06,020,06_020,166,30.025,28.404
NEW RIVER,06,020,06_020,167,29.525,27.974
NEW RIVER,06,020,06_020,168,29.032,27.505
NEW RIVER,06,020,06_020,169,28.597,27.043
NEW RIVER,06,020,06_020,170,28.319,26.727
QUARTZSITE,06,018,06_018,171,28.539,27.400
QUARTZSITE,06,018,06_018,172,28.875,27.649
QUARTZSITE,06,018,06_018,173,29.329,28.005
QUARTZSITE,06,018,06_018,174,29.954,28.353
QUARTZSITE,06,018,06_018,175,30.697,29.107
CIBOLA LAKE,06,068,06_068,176,29.370,27.203
CIBOLA LAKE,06,068,06_068,177,29.018,26.835
CIBOLA LAKE,06,068,06_068,178,29.078,26.886
CIBOLA LAKE,06,068,06_068,179,29.915,27.610
CIBOLA LAKE,06,068,06_068,180,30.228,27.904
CATUS FOREST,06,127,06_127,181,28.932,27.498
CATUS FOREST,06,127,06_127,182,28.971,27.549
CATUS FOREST,06,127,06_127,183,29.002,27.505
CATUS FOREST,06,127,06_127,184,29.012,27.469
CATUS FOREST,06,127,06_127,185,28.978,27.440
DATELAND,06,025,06_025,186,29.938,28.445
DATELAND,06,025,06_025,187,30.218,28.605
DATELAND,06,025,06_025,188,30.156,28.532
DATELAND,06,025,06_025,189,30.016,28.432
DATELAND,06,025,06_025,190,29.920,28.420
LAGUNA,06,024,06_024,191,30.597,28.941
LAGUNA,06,024,06_024,192,30.450,28.675
LAGUNA,06,024,06_024,193,30.232,28.482
LAGUNA,06,024,06_024,194,29.817,28.177
LAGUNA,06,024,06_024,195,29.552,28.065
SAN SIMON,06,029,06_029,196,25.643,24.175
SAN SIMON,06,029,06_029,197,25.396,23.911
SAN SIMON,06,029,06_029,198,24.930,23.426
SAN SIMON,06,029,06_029,199,24.304,22.890
SAN SIMON,06,029,06_029,200,24.438,22.998
POMERENE,06,028,06_028,201,24.640,23.567
POMERENE,06,028,06_028,202,24.705,23.489
POMERENE,06,028,06_028,203,24.529,23.309
POMERENE,06,028,06_028,204,24.267,22.944
POMERENE,06,028,06_028,205,23.928,22.589
PATAGONIA,06,032,06_032,206,21.333,20.233
PATAGONIA,06,032,06_032,207,21.539,20.484
PATAGONIA,06,032,06_032,208,22.301,21.184
PATAGONIA,06,032,06_032,209,22.486,21.367
PATAGONIA,06,032,06_032,210,22.836,21.829
COMPTON,07,028,07_028,211,20.475,20.324
COMPTON,07,028,07_028,212,20.676,20.521
COMPTON,07,028,07_028,213,20.777,20.656
COMPTON,07,028,07_028,214,20.475,20.437
COMPTON,07,028,07_028,215,20.273,20.335
LURTON,07,023,07_023,216,20.203,20.366
LURTON,07,023,07_023,217,20.765,20.856
LURTON,07,023,07_023,218,20.919,21.016
LURTON,07,023,07_023,219,20.772,20.887
LURTON,07,023,07_023,220,20.216,20.383
SAFFELL,07,019,07_019,221,22.913,23.075
SAFFELL,07,019,07_019,222,22.873,23.007
SAFFELL,07,019,07_019,223,22.902,22.973
SAFFELL,07,019,07_019,224,22.970,22.988
SAFFELL,07,019,07_019,225,22.894,22.902
BOSTON MTN.,07,902,07_902,226,21.695,21.907
BOSTON MTN.,07,902,07_902,227,21.487,21.694
BOSTON MTN.,07,902,07_902,228,20.997,21.180
BOSTON MTN.,07,902,07_902,229,20.893,21.073
BOSTON MTN.,07,902,07_902,230,21.287,21.439
RUPERT,07,020,07_020,231,21.705,21.979
RUPERT,07,020,07_020,232,21.524,21.733
RUPERT,07,020,07_020,233,21.534,21.690
RUPERT,07,020,07_020,234,21.248,21.320
RUPERT,07,020,07_020,235,20.831,20.843
COAL HILL,07,022,07_022,236,22.663,22.830
COAL HILL,07,022,07_022,237,22.700,22.788
COAL HILL,07,022,07_022,238,22.611,22.623
COAL HILL,07,022,07_022,239,22.510,22.495
COAL HILL,07,022,07_022,240,22.365,22.445
MASSARD,07,024,07_024,241,23.240,23.721
MASSARD,07,024,07_024,242,23.329,23.721
MASSARD,07,024,07_024,243,22.966,23.302
MASSARD,07,024,07_024,244,22.437,22.751
MASSARD,07,024,07_024,245,22.141,22.448
MAGAZINE MTN,07,901,07_901,246,22.442,22.612
MAGAZINE MTN,07,901,07_901,247,21.735,21.948
MAGAZINE MTN,07,901,07_901,248,21.669,21.898
MAGAZINE MTN,07,901,07_901,249,22.139,22.386
MAGAZINE MTN,07,901,07_901,250,22.334,22.635
WALDRON,07,015,07_015,251,22.480,22.590
WALDRON,07,015,07_015,252,22.370,22.447
WALDRON,07,015,07_015,253,22.342,22.503
WALDRON,07,015,07_015,254,22.107,22.368
WALDRON,07,015,07_015,255,21.940,22.297
HUGHES,07,008,07_008,256,23.929,24.066
HUGHES,07,008,07_008,257,24.088,24.040
HUGHES,07,008,07_008,258,24.173,24.012
HUGHES,07,008,07_008,259,24.127,24.004
HUGHES,07,008,07_008,260,24.012,24.010
ULM,07,109,07_109,261,24.054,24.314
ULM,07,109,07_109,262,24.112,24.370
ULM,07,109,07_109,263,24.176,24.427
ULM,07,109,07_109,264,24.233,24.411
ULM,07,109,07_109,265,24.242,24.381
NANCE,07,111,07_111,266,22.926,23.020
NANCE,07,111,07_111,267,23.039,23.215
NANCE,07,111,07_111,268,23.140,23.378
NANCE,07,111,07_111,269,23.174,23.353
NANCE,07,111,07_111,270,23.263,23.508
HOLLYWOOD,07,013,07_013,271,23.323,23.545
HOLLYWOOD,07,013,07_013,272,23.121,23.317
HOLLYWOOD,07,013,07_013,273,22.885,23.031
HOLLYWOOD,07,013,07_013,274,22.722,22.863
HOLLYWOOD,07,013,07_013,275,22.661,22.815
SOUTH BEND,07,010,07_010,276,24.251,24.172
SOUTH BEND,07,010,07_010,277,24.232,24.159
SOUTH BEND,07,010,07_010,278,24.205,24.153
SOUTH BEND,07,010,07_010,279,24.158,24.149
SOUTH BEND,07,010,07_010,280,24.096,24.139
ASHDOWN,07,007,07_007,281,23.969,23.771
ASHDOWN,07,007,07_007,282,23.901,23.711
ASHDOWN,07,007,07_007,283,23.894,23.698
ASHDOWN,07,007,07_007,284,23.915,23.683
ASHDOWN,07,007,07_007,285,23.976,23.672
STAMPS,07,005,07_005,286,24.015,23.903
STAMPS,07,005,07_005,287,23.911,23.822
STAMPS,07,005,07_005,288,23.849,23.781
STAMPS,07,005,07_005,289,23.795,23.760
STAMPS,07,005,07_005,290,23.754,23.766
HORSE CREEK,14,001,14_001,291,16.766,17.584
HORSE CREEK,14,001,14_001,292,16.470,17.341
HORSE CREEK,14,001,14_001,293,16.187,17.164
HORSE CREEK,14,001,14_001,294,15.820,16.995
HORSE CREEK,14,001,14_001,295,16.584,17.876
NUBIEBER,14,003,14_003,296,15.554,15.976
NUBIEBER,14,003,14_003,297,15.239,15.669
NUBIEBER,14,003,14_003,298,15.269,15.687
NUBIEBER,14,003,14_003,299,15.243,15.604
NUBIEBER,14,003,14_003,300,15.147,15.457
BAKERSFIELD,14,033,14_033,301,24.949,23.524
BAKERSFIELD,14,033,14_033,302,24.847,23.590
BAKERSFIELD,14,033,14_033,303,24.742,23.586
BAKERSFIELD,14,033,14_033,304,24.712,23.711
BAKERSFIELD,14,033,14_033,305,24.636,23.821
POINT REYES,14,071,14_071,306,18.393,17.056
POINT REYES,14,071,14_071,307,18.239,17.097
POINT REYES,14,071,14_071,308,17.965,16.927
POINT REYES,14,071,14_071,309,17.301,16.431
POINT REYES,14,071,14_071,310,16.141,15.512
NILAND,14,089,14_089,311,28.622,26.609
NILAND,14,089,14_089,312,28.624,26.485
NILAND,14,089,14_089,313,28.697,26.617
NILAND,14,089,14_089,314,28.781,26.761
NILAND,14,089,14_089,315,28.739,26.806
MESA GRANDE,14,106,14_106,316,19.148,17.719
MESA GRANDE,14,106,14_106,317,18.895,17.614
MESA GRANDE,14,106,14_106,318,18.848,17.510
MESA GRANDE,14,106,14_106,319,19.180,17.656
MESA GRANDE,14,106,14_106,320,21.636,19.890
JACUMBA,14,137,14_137,321,18.213,16.982
JACUMBA,14,137,14_137,322,18.052,16.681
JACUMBA,14,137,14_137,323,17.978,16.623
JACUMBA,14,137,14_137,324,18.127,16.918
JACUMBA,14,137,14_137,325,18.154,17.248
GREENWATER V,14,139,14_139,326,25.188,23.383
GREENWATER V,14,139,14_139,327,24.377,22.514
GREENWATER V,14,139,14_139,328,24.794,22.853
GREENWATER V,14,139,14_139,329,25.545,23.505
GREENWATER V,14,139,14_139,330,27.310,25.555
LIKELY,14,151,14_151,331,13.790,13.706
LIKELY,14,151,14_151,332,14.253,14.328
LIKELY,14,151,14_151,333,14.412,14.627
LIKELY,14,151,14_151,334,14.382,14.626
LIKELY,14,151,14_151,335,14.233,14.583
GOLD HILL,14,153,14_153,336,20.590,20.039
GOLD HILL,14,153,14_153,337,21.087,20.684
GOLD HILL,14,153,14_153,338,20.775,20.246
GOLD HILL,14,153,14_153,339,20.483,19.812
GOLD HILL,14,153,14_153,340,20.456,19.859
WESTLEY,14,155,14_155,341,21.253,21.171
WESTLEY,14,155,14_155,342,20.892,20.690
WESTLEY,14,155,14_155,343,20.819,20.589
WESTLEY,14,155,14_155,344,21.114,20.838
WESTLEY,14,155,14_155,345,21.278,20.787
LONGVALE,14,160,14_160,346,16.740,17.605
LONGVALE,14,160,14_160,347,17.218,17.922
LONGVALE,14,160,14_160,348,17.510,18.136
LONGVALE,14,160,14_160,349,17.883,18.622
LONGVALE,14,160,14_160,350,18.010,18.931
HONEY LAKE,14,162,14_162,351,15.938,15.922
HONEY LAKE,14,162,14_162,352,16.027,16.205
HONEY LAKE,14,162,14_162,353,15.499,15.465
HONEY LAKE,14,162,14_162,354,15.345,15.066
HONEY LAKE,14,162,14_162,355,15.042,14.688
DAVIS CREEK,14,165,14_165,356,13.448,13.911
DAVIS CREEK,14,165,14_165,357,13.079,13.553
DAVIS CREEK,14,165,14_165,358,13.306,13.860
DAVIS CREEK,14,165,14_165,359,13.076,13.617
DAVIS CREEK,14,165,14_165,360,12.025,12.463
MACDOEL,14,168,14_168,361,13.198,14.067
MACDOEL,14,168,14_168,362,13.056,14.075
MACDOEL,14,168,14_168,363,13.383,14.451
MACDOEL,14,168,14_168,364,13.314,14.351
MACDOEL,14,168,14_168,365,12.629,13.795
MT SHASTA,14,175,14_175,366,11.767,12.501
MT SHASTA,14,175,14_175,367,10.878,11.515
MT SHASTA,14,175,14_175,368,12.682,13.465
MT SHASTA,14,175,14_175,369,14.283,15.220
MT SHASTA,14,175,14_175,370,15.467,16.502
CLEAR LK RES,14,176,14_176,371,13.105,13.784
CLEAR LK RES,14,176,14_176,372,13.421,14.089
CLEAR LK RES,14,176,14_176,373,13.540,14.233
CLEAR LK RES,14,176,14_176,374,13.421,14.156
CLEAR LK RES,14,176,14_176,375,13.638,14.320
CEDARVILLE,14,177,14_177,376,14.602,14.805
CEDARVILLE,14,177,14_177,377,14.438,14.679
CEDARVILLE,14,177,14_177,378,14.315,14.567
CEDARVILLE,14,177,14_177,379,14.727,14.921
CEDARVILLE,14,177,14_177,380,15.072,15.150
YOLLA BOLLY,14,179,14_179,381,21.814,22.113
YOLLA BOLLY,14,179,14_179,382,23.067,23.490
YOLLA BOLLY,14,179,14_179,383,23.078,23.589
YOLLA BOLLY,14,179,14_179,384,23.013,23.612
YOLLA BOLLY,14,179,14_179,385,22.988,23.631
GENESEE,14,181,14_181,386,15.883,15.559
GENESEE,14,181,14_181,387,15.517,15.213
GENESEE,14,181,14_181,388,15.121,14.832
GENESEE,14,181,14_181,389,14.502,14.211
GENESEE,14,181,14_181,390,14.475,14.105
LAYTONVILLE,14,182,14_182,391,13.850,14.510
LAYTONVILLE,14,182,14_182,392,15.045,15.702
LAYTONVILLE,14,182,14_182,393,15.558,16.128
LAYTONVILLE,14,182,14_182,394,16.517,17.084
LAYTONVILLE,14,182,14_182,395,17.162,17.983
DOWNIEVILLE,14,185,14_185,396,18.587,17.977
DOWNIEVILLE,14,185,14_185,397,17.882,17.053
DOWNIEVILLE,14,185,14_185,398,17.677,16.746
DOWNIEVILLE,14,185,14_185,399,17.781,16.938
DOWNIEVILLE,14,185,14_185,400,17.383,16.543
MARK WEST,14,186,14_186,401,18.930,17.813
MARK WEST,14,186,14_186,402,17.620,17.053
MARK WEST,14,186,14_186,403,17.090,16.810
MARK WEST,14,186,14_186,404,16.900,16.655
MARK WEST,14,186,14_186,405,16.838,16.409
RIVERTON,14,188,14_188,406,17.012,15.746
RIVERTON,14,188,14_188,407,15.965,14.762
RIVERTON,14,188,14_188,408,15.451,14.306
RIVERTON,14,188,14_188,409,14.797,13.714
RIVERTON,14,188,14_188,410,14.789,13.798
COYOTE,14,189,14_189,411,18.965,17.588
COYOTE,14,189,14_189,412,18.892,17.598
COYOTE,14,189,14_189,413,18.822,17.692
COYOTE,14,189,14_189,414,18.716,17.763
COYOTE,14,189,14_189,415,18.598,17.682
COPPEROPOLIS,14,190,14_190,416,22.004,21.615
COPPEROPOLIS,14,190,14_190,417,21.732,21.438
COPPEROPOLIS,14,190,14_190,418,21.788,21.403
COPPEROPOLIS,14,190,14_190,419,21.934,21.403
COPPEROPOLIS,14,190,14_190,420,21.786,21.088
ONEALS,14,191,14_191,421,23.510,22.667
ONEALS,14,191,14_191,422,23.552,22.720
ONEALS,14,191,14_191,423,23.561,22.677
ONEALS,14,191,14_191,424,23.145,22.179
ONEALS,14,191,14_191,425,23.071,22.134
BODEGA BAY,14,193,14_193,426,15.740,15.200
BODEGA BAY,14,193,14_193,427,16.823,16.021
BODEGA BAY,14,193,14_193,428,14.997,14.502
