RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
ELKMONT,02,072,02_072,1,21.592500000000000,24.337499999999900,19.835000000000000,22.684999999999900,19.727499999999900,24.594999999999900,18.890000000000000,24.954999999999900
ELKMONT,02,072,02_072,2,21.512499999999900,24.212500000000000,19.739999999999900,22.532499999999900,19.734999999999900,24.570000000000000,18.867500000000000,24.942499999999900
ELKMONT,02,072,02_072,3,21.800000000000000,24.445000000000000,20.020000000000000,22.850000000000000,20.180000000000000,24.920000000000000,19.210000000000000,25.359999999999900
ELKMONT,02,072,02_072,4,21.842499999999900,24.547499999999900,20.109999999999900,22.945000000000000,20.422499999999900,25.057500000000000,19.377499999999900,25.597500000000000
ELKMONT,02,072,02_072,5,22.120000000000000,24.743333333333300,20.366666666666600,23.199999999999900,20.773333333333300,25.246666666666600,19.613333333333300,25.893333333333300
ST FLORIAN,02,001,02_001,6,22.030000000000000,24.793333333333300,20.489999999999900,23.063333333333300,20.270000000000000,25.346666666666600,19.756666666666600,25.976666666666600
ST FLORIAN,02,001,02_001,7,22.129999999999900,24.766666666666600,20.496666666666600,23.056666666666600,20.323333333333300,25.323333333333300,19.776666666666600,25.953333333333300
ST FLORIAN,02,001,02_001,8,22.343333333333300,24.853333333333300,20.620000000000000,23.176666666666600,20.433333333333300,25.443333333333300,19.819999999999900,26.003333333333300
ST FLORIAN,02,001,02_001,9,22.596666666666600,24.959999999999900,20.709999999999900,23.306666666666600,20.570000000000000,25.516666666666600,19.910000000000000,26.083333333333300
ST FLORIAN,02,001,02_001,10,22.346666666666600,24.713333333333300,20.450000000000000,23.040000000000000,20.386666666666600,25.309999999999900,19.683333333333300,25.800000000000000
SWAIM,02,007,02_007,11,21.670000000000000,24.309999999999900,20.045000000000000,22.875000000000000,20.439999999999900,24.984999999999900,19.460000000000000,25.439999999999900
SWAIM,02,007,02_007,12,22.090000000000000,24.607499999999900,20.467500000000000,23.374999999999900,20.805000000000000,25.112500000000000,19.647500000000000,25.440000000000000
SWAIM,02,007,02_007,13,21.536666666666600,24.069999999999900,19.846666666666600,22.793333333333300,20.516666666666600,24.810000000000000,19.303333333333300,25.203333333333300
SWAIM,02,007,02_007,14,21.475000000000000,24.104999999999900,19.829999999999900,22.750000000000000,20.520000000000000,24.914999999999900,19.325000000000000,25.164999999999900
SWAIM,02,007,02_007,15,21.049999999999900,23.640000000000000,19.329999999999900,22.184999999999900,20.274999999999900,24.475000000000000,18.859999999999900,24.734999999999900
VINA,02,201,02_201,16,22.340000000000000,24.629999999999900,20.613333333333300,23.359999999999900,20.816666666666600,25.363333333333300,20.063333333333300,25.980000000000000
VINA,02,201,02_201,17,22.486666666666600,24.733333333333300,20.760000000000000,23.400000000000000,20.910000000000000,25.459999999999900,20.030000000000000,26.020000000000000
VINA,02,201,02_201,18,22.446666666666600,24.776666666666600,20.726666666666600,23.316666666666600,20.783333333333300,25.416666666666600,19.949999999999900,25.973333333333300
VINA,02,201,02_201,19,22.296666666666600,24.750000000000000,20.653333333333300,23.163333333333300,20.703333333333300,25.416666666666600,19.893333333333300,25.913333333333300
VINA,02,201,02_201,20,22.155000000000000,24.664999999999900,20.535000000000000,22.980000000000000,20.530000000000000,25.329999999999900,19.730000000000000,25.785000000000000
PINE GROVE,02,008,02_008,21,21.817499999999900,24.435000000000000,20.017500000000000,23.522500000000000,20.957500000000000,25.815000000000000,20.000000000000000,25.767500000000000
PINE GROVE,02,008,02_008,22,21.899999999999900,24.564999999999900,20.149999999999900,23.689999999999900,20.890000000000000,25.954999999999900,19.984999999999900,25.899999999999900
PINE GROVE,02,008,02_008,23,21.859999999999900,24.510000000000000,20.212499999999900,23.652500000000000,20.962499999999900,25.957500000000000,19.992500000000000,25.912500000000000
PINE GROVE,02,008,02_008,24,21.734999999999900,24.410000000000000,20.204999999999900,23.579999999999900,21.085000000000000,25.960000000000000,20.020000000000000,25.930000000000000
PINE GROVE,02,008,02_008,25,21.600000000000000,24.280000000000000,19.875000000000000,23.509999999999900,21.000000000000000,25.840000000000000,19.965000000000000,25.810000000000000
BROOKSVILLE,02,105,02_105,26,21.957499999999900,24.592500000000000,20.382500000000000,23.289999999999900,20.657499999999900,25.000000000000000,19.682499999999900,25.300000000000000
BROOKSVILLE,02,105,02_105,27,21.983333333333300,24.646666666666600,20.420000000000000,23.310000000000000,20.733333333333300,25.103333333333300,19.773333333333300,25.363333333333300
BROOKSVILLE,02,105,02_105,28,22.140000000000000,24.827500000000000,20.522500000000000,23.467500000000000,21.052499999999900,25.537500000000000,20.147500000000000,25.722499999999900
BROOKSVILLE,02,105,02_105,29,22.166666666666600,24.770000000000000,20.530000000000000,23.443333333333300,21.046666666666600,25.426666666666600,20.090000000000000,25.629999999999900
BROOKSVILLE,02,105,02_105,30,22.132500000000000,24.692499999999900,20.567499999999900,23.472500000000000,21.017500000000000,25.335000000000000,20.004999999999900,25.530000000000000
CHOCCOLOCCO,02,111,02_111,31,22.000000000000000,24.079999999999900,20.273333333333300,23.346666666666600,21.386666666666600,25.516666666666600,20.476666666666600,25.573333333333300
CHOCCOLOCCO,02,111,02_111,32,21.750000000000000,23.923333333333300,20.043333333333300,23.106666666666600,21.236666666666600,25.393333333333300,20.306666666666600,25.439999999999900
CHOCCOLOCCO,02,111,02_111,33,21.750000000000000,23.960000000000000,20.055000000000000,23.145000000000000,21.314999999999900,25.439999999999900,20.340000000000000,25.500000000000000
CHOCCOLOCCO,02,111,02_111,34,21.365000000000000,23.539999999999900,19.539999999999900,22.765000000000000,20.765000000000000,24.920000000000000,19.865000000000000,25.030000000000000
CHOCCOLOCCO,02,111,02_111,35,21.210000000000000,23.460000000000000,19.195000000000000,22.594999999999900,20.365000000000000,24.689999999999900,19.504999999999900,24.774999999999900
MAYTOWN,02,017,02_017,36,23.293333333333300,25.233333333333300,21.446666666666600,24.353333333333300,22.179999999999900,26.406666666666600,21.336666666666600,26.666666666666600
MAYTOWN,02,017,02_017,37,22.995000000000000,25.180000000000000,21.274999999999900,24.170000000000000,21.875000000000000,26.200000000000000,21.009999999999900,26.424999999999900
MAYTOWN,02,017,02_017,38,22.890000000000000,25.115000000000000,21.189999999999900,24.090000000000000,21.840000000000000,26.155000000000000,20.930000000000000,26.425000000000000
MAYTOWN,02,017,02_017,39,22.793333333333300,24.926666666666600,21.036666666666600,23.916666666666600,21.826666666666600,26.026666666666600,20.940000000000000,26.503333333333300
