RTENAME,StateNm,RouteID,U_S_R_I,id,h00_0,h00_11,h00_12,h00_21,h00_22,h00_23,h00_24,h00_31,h00_41,h00_42,h00_43,h00_52,h00_71,h00_81,h00_82,h00_90,h00_95
ELKMONT,02,072,02_072,1,0,40,0,2738,131,4,0,0,13613,690,1173,173,235,27939,5424,3606,55
ELKMONT,02,072,02_072,2,0,65,0,3142,253,38,2,0,11407,1133,1376,190,45,27691,8143,2260,75
ELKMONT,02,072,02_072,3,0,35,0,2411,167,54,11,34,23078,432,998,179,38,20924,4539,2864,71
ELKMONT,02,072,02_072,4,0,362,0,2616,231,65,11,59,24168,849,1313,252,108,21455,2776,1464,111
ELKMONT,02,072,02_072,5,0,971,0,1624,189,84,24,34,25328,1706,1515,225,150,14014,7191,2647,125
ST FLORIAN,02,001,02_001,6,0,13782,0,1062,149,10,0,8,27412,2637,1643,1755,818,5746,7,649,137
ST FLORIAN,02,001,02_001,7,0,58,0,2148,218,7,0,1,13486,1923,1977,1947,412,21504,10522,1482,136
ST FLORIAN,02,001,02_001,8,0,122,0,3692,861,218,65,6,4883,497,837,321,47,30502,11766,1904,92
ST FLORIAN,02,001,02_001,9,0,104,0,8071,4941,651,111,44,15396,974,2206,667,170,14286,3029,5007,177
ST FLORIAN,02,001,02_001,10,0,105,0,7978,7798,2571,1105,71,6781,1295,1400,316,104,21338,2818,2032,112
SWAIM,02,007,02_007,11,0,54,0,2546,721,46,7,2,23311,380,1516,76,70,16839,9459,756,42
SWAIM,02,007,02_007,12,0,148,0,2447,1489,284,38,6,24313,543,1616,112,125,12725,11281,569,125
SWAIM,02,007,02_007,13,0,193,0,774,66,2,0,3,31831,374,1568,284,82,12750,6910,825,174
SWAIM,02,007,02_007,14,0,36,0,979,100,5,0,0,38058,747,1979,381,86,6191,5884,1227,152
SWAIM,02,007,02_007,15,0,6,0,1141,74,6,1,0,40285,569,2459,208,221,6925,3439,310,172
VINA,02,201,02_201,16,0,1,0,1674,250,8,0,5,18791,17239,5310,2814,2063,5522,221,1863,64
VINA,02,201,02_201,17,0,63,0,2082,800,158,35,9,20599,10396,5391,5962,2032,6651,639,885,133
VINA,02,201,02_201,18,0,48,0,2112,953,152,5,152,19942,2814,3769,1720,1483,16012,5321,1070,285
VINA,02,201,02_201,19,0,48,0,1245,217,9,0,10,22030,7970,3913,8092,4939,6273,309,731,45
VINA,02,201,02_201,20,0,5,0,1509,349,24,0,10,20066,4997,2370,3169,12994,9508,532,276,24
PINE GROVE,02,008,02_008,21,0,457,0,1048,234,6,0,3,12308,17927,4849,2882,6222,7927,1107,814,40
PINE GROVE,02,008,02_008,22,0,685,0,3551,2412,635,215,50,9136,10106,6571,593,481,9084,11745,340,217
PINE GROVE,02,008,02_008,23,0,25393,0,2321,2613,553,207,303,3863,3862,2843,454,319,6394,5956,514,225
PINE GROVE,02,008,02_008,24,0,15388,0,3133,1652,271,43,358,14001,3747,3496,1198,1338,10261,284,563,93
PINE GROVE,02,008,02_008,25,0,80,0,2102,352,12,1,80,17405,12383,5936,2785,2955,11499,8,203,32
BROOKSVILLE,02,105,02_105,26,0,108,0,2729,232,29,0,7,26460,2945,2840,2313,698,17391,12,53,8
BROOKSVILLE,02,105,02_105,27,0,322,0,2996,1438,319,127,30,18944,2741,3601,1904,1105,21829,140,220,111
BROOKSVILLE,02,105,02_105,28,0,444,0,2334,451,89,2,23,13033,5267,5820,902,1154,25570,55,382,300
BROOKSVILLE,02,105,02_105,29,0,286,0,2738,377,122,29,19,12750,1983,2806,1499,1210,31371,251,269,110
BROOKSVILLE,02,105,02_105,30,0,370,0,1729,924,232,88,531,22562,2602,5232,1491,597,18442,863,141,18
CHOCCOLOCCO,02,111,02_111,31,0,143,0,4985,988,91,2,188,21430,6380,3820,261,802,14144,1943,629,32
CHOCCOLOCCO,02,111,02_111,32,0,194,0,3859,440,49,2,49,23908,8979,3168,300,730,12837,747,532,23
CHOCCOLOCCO,02,111,02_111,33,0,1345,0,1658,113,94,16,79,21245,12826,3479,386,1221,9620,3344,382,24
CHOCCOLOCCO,02,111,02_111,34,0,362,0,1617,112,24,3,49,24741,6791,4932,1794,499,13005,1767,105,19
CHOCCOLOCCO,02,111,02_111,35,0,89,0,1744,171,18,1,33,28562,5387,6121,1294,573,11644,132,41,12
MAYTOWN,02,017,02_017,36,0,26,0,3459,381,37,1,7,20284,12273,5015,6379,6922,991,0,52,0
MAYTOWN,02,017,02_017,37,0,850,0,2694,245,92,15,614,16957,17934,6428,4321,4772,729,2,161,1
MAYTOWN,02,017,02_017,38,0,2849,0,3112,215,121,18,871,17185,13130,7886,4456,3885,646,1,1424,22
MAYTOWN,02,017,02_017,39,0,3219,0,2260,190,254,103,553,20271,11278,7760,5414,3065,922,2,479,51
MAYTOWN,02,017,02_017,40,0,1219,0,2073,115,101,3,1656,17210,17178,8848,1605,4561,1128,0,104,23
LIBERTY,02,019,02_019,41,0,87,0,1814,88,7,0,1,13032,10765,17834,5831,1520,2366,38,2345,92
LIBERTY,02,019,02_019,42,0,194,0,1814,196,10,0,3,10524,6178,11551,3583,2585,3490,0,13551,2141
LIBERTY,02,019,02_019,43,0,364,0,2556,865,137,21,9,10562,7282,10473,2537,92,5494,3,14263,1158
LIBERTY,02,019,02_019,44,0,132,0,3133,190,10,0,25,14090,6143,15019,2761,724,9455,0,3830,309
LIBERTY,02,019,02_019,45,0,38,0,2585,89,3,0,17,14875,7131,12464,4092,3022,2795,8,8260,459
HOLT,02,060,02_060,46,0,4298,0,2361,435,27,0,13,15794,9354,11434,1737,2172,6739,5,1398,52
HOLT,02,060,02_060,47,0,63,0,1092,153,18,0,730,15935,17754,7852,2497,9004,446,0,254,28
HOLT,02,060,02_060,48,0,198,0,1619,162,14,0,1136,10803,21647,6689,4995,7702,455,0,360,43
HOLT,02,060,02_060,49,0,1385,0,2282,165,6,1,77,17420,15512,9646,3252,4410,821,0,848,9
HOLT,02,060,02_060,50,0,4253,0,1444,109,18,3,82,18220,16630,8410,1920,3367,1244,0,87,44
SMYER LAKE,02,014,02_014,51,0,253,0,4253,1640,679,272,119,20245,14264,4622,2479,2434,4232,9,306,12
SMYER LAKE,02,014,02_014,52,0,352,0,1655,223,26,5,23,9352,23981,2466,1363,9734,3692,1,2810,135
SMYER LAKE,02,014,02_014,53,0,945,0,4855,1194,319,37,558,23321,7679,3411,1084,4518,5786,61,2015,33
SMYER LAKE,02,014,02_014,54,0,603,0,5851,3007,724,67,430,32305,3842,4913,700,1637,1590,57,104,4
SMYER LAKE,02,014,02_014,55,0,987,0,7872,4523,708,92,155,30364,4250,4293,201,826,1410,105,43,3
JENA,02,047,02_047,56,0,142,0,1687,281,1,0,2,8286,4977,8393,1406,670,8465,930,19459,1135
JENA,02,047,02_047,57,0,252,0,1379,202,20,4,24,10547,4938,7889,1974,1169,7154,2,19237,1042
JENA,02,047,02_047,58,0,315,0,2200,696,52,3,125,12788,5339,8779,2428,430,4346,18,17311,996
