"Latitude","Longitude","U_S_R_I"
34.868688,-87.6041417,"02_001"
34.8680404,-86.2030371,"02_007"
34.0278089,-85.7110414,"02_008"
33.4549551,-86.6010915,"02_014"
33.5263185,-87.0044623,"02_017"
33.4765537,-88.1712189,"02_019"
32.442715,-87.2158334,"02_022"
32.1312407,-86.2754989,"02_024"
32.6594297,-86.7017714,"02_025"
32.5890245,-86.1307777,"02_026"
32.3116131,-85.5530853,"02_027"
32.8854647,-85.2044589,"02_028"
32.1473077,-85.0626449,"02_029"
30.9977072,-86.8858316,"02_035"
31.3180673,-87.1203132,"02_038"
33.1156047,-87.1007539,"02_043"
33.1379607,-87.8205274,"02_047"
32.6807827,-88.1229309,"02_048"
31.2926075,-88.38516,"02_052"
31.2223969,-86.0994295,"02_054"
31.6676037,-85.6508719,"02_055"
33.2638251,-87.4241383,"02_060"
34.9292307,-86.9887629,"02_072"
34.2126918,-86.4734413,"02_105"
33.6296357,-85.7466579,"02_111"
34.2884067,-88.0675579,"02_201"
30.803493,-87.6374375,"02_218"
34.9859877,-114.4831159,"06_012"
34.7270747,-113.9188229,"06_013"
33.6562037,-114.2169649,"06_018"
33.7034749,-112.2723363,"06_020"
32.8332815,-114.3988546,"06_024"
32.9285617,-113.5413359,"06_025"
32.0343407,-110.3031159,"06_028"
32.4996877,-109.3368449,"06_029"
31.5175977,-110.7949529,"06_032"
34.2318174,-113.5975476,"06_063"
33.2314477,-114.668276,"06_068"
35.5541565,-113.3760172,"06_107"
35.2307957,-112.5859679,"06_108"
34.8379964,-111.4382855,"06_115"
32.9583127,-111.3334729,"06_127"
33.3755757,-93.4706879,"07_005"
33.6969877,-94.1229479,"07_007"
34.9269397,-90.5065699,"07_008"
34.0487397,-91.4995419,"07_010"
34.0344927,-93.2513959,"07_013"
34.9704407,-94.0440279,"07_015"
35.9114603,-91.3426352,"07_019"
35.6330837,-92.7182699,"07_020"
35.4263985,-93.6640897,"07_022"
35.7806777,-93.0696409,"07_023"
35.3514159,-94.3318236,"07_024"
36.1206137,-93.2802279,"07_028"
34.7008083,-91.7077371,"07_109"
34.7023815,-92.8007333,"07_111"
35.1599347,-93.4248279,"07_901"
35.6923427,-93.8210314,"07_902"
41.8223332,-123.0047055,"14_001"
41.1014068,-121.2571315,"14_003"
35.1800607,-119.1639019,"14_033"
38.0453507,-122.8668979,"14_071"
33.2200507,-115.4847789,"14_089"
33.1990869,-116.7862853,"14_106"
32.6119997,-116.2002339,"14_137"
36.0509851,-116.5004177,"14_139"
41.2351468,-120.3368295,"14_151"
38.7687607,-120.9253159,"14_153"
37.5141365,-121.1597352,"14_155"
39.5664857,-123.3982919,"14_160"
40.4932903,-120.1080006,"14_162"
41.7332787,-120.3753129,"14_165"
41.8224004,-122.0111142,"14_168"
41.4000979,-122.0499734,"14_175"
41.8190067,-121.0692617,"14_176"
41.5295757,-120.1718519,"14_177"
40.0279597,-122.6387259,"14_179"
40.2017613,-120.623502,"14_181"
39.6878368,-123.484892,"14_182"
39.5602197,-120.8280109,"14_185"
38.5498734,-122.719303,"14_186"
38.7694117,-120.4473869,"14_188"
37.2521703,-121.6774341,"14_189"
37.9834939,-120.6452578,"14_190"
37.1201217,-119.7013699,"14_191"
38.3407717,-123.0480649,"14_193"
