"route","h_0","h_11","h_12","h_21","h_22","h_23","h_24","h_31","h_41","h_42","h_43","h_52","h_71","h_81","h_82","h_90","h_95"
"ST FLORIAN 5",0,13772,0,1064,147,10,0,8,26180,3408,2183,489,2508,5235,7,662,114
"ST FLORIAN 4",0,37,0,2148,217,7,0,0,13107,3024,2213,1373,342,21057,10689,1512,79
"ST FLORIAN 3",0,107,0,3784,893,255,73,6,4653,741,1061,470,240,29610,11569,2106,220
"ST FLORIAN 2",0,80,0,8944,5744,955,112,43,14632,770,2158,1306,829,12975,2295,4576,371
"ST FLORIAN 1",0,113,0,7960,7429,3014,1341,58,6699,1331,1458,519,206,20501,2998,1919,258
"SWAIM 5",0,56,0,2627,722,61,12,2,23079,486,1553,283,98,17467,8637,661,52
"SWAIM 4",0,120,0,2437,1487,294,37,6,24571,631,1562,568,471,11438,11812,232,141
"SWAIM 3",0,178,0,663,229,11,0,4,25741,342,1379,862,633,14728,10036,729,244
"SWAIM 2",0,62,0,904,87,3,0,0,34220,802,1883,1845,830,6526,6722,1727,181
"SWAIM 1",0,8,0,983,94,9,1,0,36043,488,2524,1767,1110,6497,5615,483,164
"PINE GROVE 1",0,1048,0,1079,266,14,26,6,12616,18274,4513,3672,5083,7129,1209,754,98
"PINE GROVE 2",0,770,0,3409,2013,519,186,28,7964,9623,5415,1565,3653,8334,11817,312,213
"PINE GROVE 3",0,20033,0,2922,3430,834,273,290,4027,3656,3264,967,1273,7615,6533,519,151
"PINE GROVE 4",0,18987,0,3217,1698,315,44,403,11318,3222,2982,1916,2601,8049,593,344,97
"PINE GROVE 5",0,190,0,2035,364,12,1,82,17360,11226,5867,3578,3391,10806,649,218,22
"SMYER LAKE 5",0,242,0,4321,1640,876,321,101,19400,12692,4845,3775,3320,3917,14,329,2
"SMYER LAKE 4",0,469,0,1213,178,31,3,23,5808,21966,1948,12194,7366,3725,0,837,20
"SMYER LAKE 3",0,1288,0,4812,908,103,17,155,19023,10212,3277,2831,1866,6218,16,4964,111
"SMYER LAKE 2",0,744,0,7177,3597,1399,135,450,27551,4528,4401,1913,1548,1981,14,352,5
"SMYER LAKE 1",0,591,0,9808,7543,2468,384,134,27014,2147,2958,707,835,1125,24,59,0
"MAYTOWN 1",0,11,0,3436,401,47,1,9,22109,17361,6455,4490,539,910,0,33,0
"MAYTOWN 2",0,826,0,2831,256,106,16,653,17330,19989,7097,2646,3172,708,2,156,0
"MAYTOWN 3",0,2669,0,2971,206,123,19,1020,16408,14166,8346,4915,2960,559,2,1338,109
"MAYTOWN 4",0,3185,0,2276,187,265,112,593,20597,13566,8822,2893,1925,872,2,476,33
"MAYTOWN 5",0,810,0,2127,336,407,29,1987,16348,18608,8863,2336,2754,1037,0,114,31
"HARRELL 1",0,1178,0,1175,260,26,0,173,1424,6501,4907,1558,803,29181,1920,6253,442
"HARRELL 2",0,269,0,1917,125,0,0,3,184,5048,1081,536,216,15750,3907,24360,2390
"HARRELL 3",0,165,0,2954,292,58,5,2,505,12017,4127,1129,1934,12900,1790,16716,1210
"HARRELL 4",0,205,0,2281,108,6,0,23,1339,14616,6631,3164,3596,3203,3191,16884,555
"HARRELL 5",0,2129,0,946,46,3,0,40,916,10882,1587,470,1531,6859,3789,25231,1362
"SPRAGUE 5",0,388,0,1065,179,0,0,1,12084,13476,14341,7596,3527,2086,46,959,33
"SPRAGUE 4",0,437,0,1238,439,88,5,9,14605,12292,8760,4068,3448,9352,5,999,46
"SPRAGUE 3",0,181,0,1220,253,28,1,2,15973,16677,8624,2063,2919,3215,1,4555,68
"SPRAGUE 2",0,441,0,1492,76,0,0,19,18695,14778,6955,2807,4071,2505,5,3784,159
"SPRAGUE 1",0,700,0,1415,87,0,0,12,16434,10285,5190,2904,2991,12496,5,3015,255
"BILLINGSLEY 5",0,3182,0,2222,92,27,5,65,25501,9838,5169,5877,3390,398,0,31,1
"BILLINGSLEY 4",0,171,0,3002,973,297,37,26,13107,4444,5290,3817,2231,13946,3008,5151,291
"BILLINGSLEY 3",0,86,0,2431,1000,27,2,264,10493,5994,5183,3514,2379,21779,336,2270,32
"BILLINGSLEY 2",0,54,0,1654,368,10,0,88,10584,6604,8133,4411,3151,13695,25,6715,293
"BILLINGSLEY 1",0,66,0,1820,468,90,24,90,5820,8739,8447,6086,4063,10517,46,8624,879
"WALLSBORO 1",0,840,0,3403,1352,574,129,69,17941,7950,11975,3199,927,5923,312,1051,138
"WALLSBORO 2",0,202,0,3224,587,34,6,44,24086,8727,9356,4936,1165,2440,507,422,45
"WALLSBORO 3",0,971,0,3752,1128,231,60,333,17769,2795,6335,2423,1037,7873,4095,6585,415
"WALLSBORO 4",0,2288,0,4868,1292,134,20,797,9162,2561,3791,1739,1016,6468,6808,13699,1147
"WALLSBORO 5",0,70,0,1888,202,21,2,9,14185,9251,12308,3698,1461,6992,1051,4600,48
"WARRIOR STD 1",0,619,0,658,33,2,0,5,9050,13643,11749,5421,594,1518,262,12008,226
"WARRIOR STD 2",0,634,0,1178,141,4,0,8,3985,18608,7630,2382,3075,4781,125,12720,519
"WARRIOR STD 3",0,528,0,6750,3522,1032,334,197,546,10517,15918,3474,729,6230,87,5781,150
"WARRIOR STD 4",0,214,0,4055,1209,254,26,3803,1858,12197,17146,2796,773,1774,193,8971,521
"WARRIOR STD 5",0,461,0,2531,565,89,12,391,3043,13081,12959,4499,1901,7139,911,8077,146
"LANETT 1",0,6778,0,1885,680,123,31,184,9828,15856,4298,2773,1468,6788,0,4880,214
"LANETT 2",0,437,0,1940,274,3,0,3,12185,21613,4095,4098,2409,5743,0,2974,30
"LANETT 3",0,137,0,1592,159,1,0,27,10563,23797,3247,4280,4010,4088,0,3768,137
"LANETT 4",0,447,0,1977,205,9,0,33,12915,20682,4833,4222,809,7289,0,2285,90
"LANETT 5",0,600,0,2749,2140,607,221,71,8441,17932,4928,3287,1286,12413,0,981,141
"MCLELLAN 1",0,4,0,1346,147,3,1,119,532,27786,2574,11020,5444,814,3703,2229,81
"MCLELLAN 2",0,808,0,1109,172,2,1,269,784,29551,2737,3806,6841,1570,1034,6956,149
"MCLELLAN 3",0,61,0,1217,80,0,0,13,956,34946,2810,6847,2440,2107,1,4235,75
"MCLELLAN 4",0,34,0,1387,173,9,0,0,868,41456,1614,6037,1493,353,2,2386,11
"MCLELLAN 5",0,167,0,1602,152,4,0,4,905,31846,4648,2101,2103,3690,2349,6134,97
"CASTLEBERRY 5",0,156,0,2016,242,4,0,240,871,13530,4571,5366,3798,3428,16923,4438,204
"CASTLEBERRY 4",0,91,0,935,88,1,0,206,693,11058,3671,10212,7570,2947,2640,15235,467
"CASTLEBERRY 3",0,4,0,450,47,1,0,5,102,19748,1416,11374,11788,641,5,8886,1320
"CASTLEBERRY 2",0,135,0,1485,227,2,0,11,822,16037,6379,7247,4984,7126,877,9219,1236
"CASTLEBERRY 1",0,168,0,1758,565,75,6,736,1212,14127,8086,8091,6475,5876,192,7183,1235
"BLOCTON 5",0,59,0,1122,335,71,78,84,12017,27451,7653,2017,3189,157,0,1567,3
"BLOCTON 4",0,413,0,1683,243,13,2,45,14678,22269,7542,4402,2285,1203,1,1012,8
"BLOCTON 3",0,187,0,3681,2824,1225,771,901,11931,12608,7995,2360,1955,5717,2,3367,277
"BLOCTON 2",0,333,0,2711,156,6,0,32,17049,11596,12254,3911,2234,4026,4,1370,111
"BLOCTON 1",0,282,0,4396,559,143,23,69,14438,21764,8610,2686,1350,982,2,487,11
"WHITEHOUSE 5",0,1,0,1216,261,46,28,6,19803,15055,6520,4514,4365,3704,0,261,0
"WHITEHOUSE 4",0,118,0,1806,513,86,20,14,19741,11788,6733,2536,2960,8457,869,152,1
