"route","X_07_mmean","X_07_jmean","X_08_mmean","X_08_jmean","X_09_mmean","X_09_jmean"
"ST FLORIAN 5",21.5433333333333,25.2933333333333,19.5966666666667,25.2,20.2233333333333,25.1766666666667
"ST FLORIAN 4",21.5133333333333,25.3133333333333,19.5733333333333,25.1166666666667,20.22,25.1233333333333
"ST FLORIAN 3",21.635,25.575,19.715,25.165,20.355,25.245
"ST FLORIAN 2",21.6233333333333,25.6266666666667,19.7066666666667,25.1266666666667,20.36,25.22
"ST FLORIAN 1",21.3166666666667,25.2266666666667,19.36,24.8233333333333,20.1633333333333,24.98
"SWAIM 5",20.94,25.245,19.15,24.77,20.02,25.075
"SWAIM 4",20.9633333333333,25.22,19.37,24.87,20.2733333333333,25.1266666666667
"SWAIM 3",20.97,25.265,19.41,24.94,20.3,25.175
"SWAIM 2",20.65,24.625,18.565,24.105,19.33,24.53
"SWAIM 1",20.785,24.895,18.96,24.51,19.805,24.895
"PINE GROVE 1",20.7975,25.0825,19.2025,24.82,20.5075,25.3
"PINE GROVE 2",20.8,25,19.145,24.85,20.44,25.265
"PINE GROVE 3",20.85,25.035,19.205,24.85,20.4725,25.2875
"PINE GROVE 4",20.9275,25.1475,19.3525,24.9225,20.565,25.3725
"PINE GROVE 5",20.74,25,19.075,24.675,20.5,25.27
"SMYER LAKE 5",22.325,26.565,21.245,25.955,21.73,26.01
"SMYER LAKE 4",22.4266666666667,26.65,21.2733333333333,26.0066666666667,21.7233333333333,26.0633333333333
"SMYER LAKE 3",22.13,26.53,21.0333333333333,25.8733333333333,21.5933333333333,25.9133333333333
"SMYER LAKE 2",23.05,27.31,21.42,26.2225,21.64,26.1425
"SMYER LAKE 1",23.7575,27.8825,21.695,26.51,21.6675,26.295
"MAYTOWN 1",22.455,26.745,21.2,26.065,21.625,26.13
"MAYTOWN 2",21.955,26.325,20.805,25.76,21.4,25.925
"MAYTOWN 3",21.78,26.15,20.735,25.725,21.33,25.835
"MAYTOWN 4",21.77,26.14,20.5833333333333,25.6333333333333,21.22,25.7133333333333
"MAYTOWN 5",21.63,25.9875,20.4075,25.5275,21.095,25.595
"HARRELL 1",22.0666666666667,26.9533333333333,21.45,26.02,22.02,26.2866666666667
"HARRELL 2",22.065,26.895,21.42,25.98,21.955,26.195
"HARRELL 3",22.085,26.86,21.485,25.985,21.935,26.19
"HARRELL 4",22.135,26.88,21.53,26,21.96,26.185
"HARRELL 5",22.1275,26.795,21.715,26.29,22.02,26.34
"SPRAGUE 5",21.23,25.39,21.3266666666667,25.6966666666667,21.98,25.9033333333333
"SPRAGUE 4",21.3733333333333,25.5133333333333,21.45,25.7766666666667,22.0666666666667,26.0866666666667
"SPRAGUE 3",21.625,26.025,21.775,26.13,22.295,26.5
"SPRAGUE 2",21.64,26.155,21.905,26.23,22.385,26.645
"SPRAGUE 1",21.885,26.595,22.205,26.52,22.59,26.91
"BILLINGSLEY 5",21.985,26.5,21.5625,26.045,22.11,26.1525
"BILLINGSLEY 4",21.94,26.4075,21.4025,25.95,22.025,25.9525
"BILLINGSLEY 3",21.66,26.025,20.895,25.485,21.65,25.355
"BILLINGSLEY 2",21.8833333333333,26.33,21.1366666666667,25.7066666666667,21.8333333333333,25.66
"BILLINGSLEY 1",22.025,26.53,21.305,25.84,21.945,25.865
"WALLSBORO 1",22.03,26.795,21.95,26.4,22.36,26.565
"WALLSBORO 2",21.905,26.49,21.745,26.2125,22.195,26.4125
"WALLSBORO 3",22.1066666666667,26.7833333333333,22.0966666666667,26.4966666666667,22.4966666666667,26.7933333333333
"WALLSBORO 4",22.225,26.9575,22.3275,26.7075,22.735,27.1
"WALLSBORO 5",21.96,26.53,21.9633333333333,26.3666666666667,22.44,26.7633333333333
"WARRIOR STD 1",21.865,25.94,21.555,26.225,22.175,26.375
"WARRIOR STD 2",21.9433333333333,26.0966666666667,21.6366666666667,26.2566666666667,22.18,26.42
"WARRIOR STD 3",21.98,26.2166666666667,21.6433333333333,26.1566666666667,22.0733333333333,26.39
"WARRIOR STD 4",21.935,26.17,21.615,26.205,22.095,26.405
"WARRIOR STD 5",21.7566666666667,25.9233333333333,21.4033333333333,26.1366666666667,21.95,26.2566666666667
"LANETT 1",20.58,24.885,20.34,25.79,20.885,25.475
"LANETT 2",20.59,24.95,20.26,25.655,20.96,25.435
"LANETT 3",20.5275,24.9075,20.17,25.56,20.99,25.345
"LANETT 4",20.565,24.855,20.195,25.495,21.105,25.3825
"LANETT 5",20.5233333333333,24.74,20.21,25.3733333333333,21.18,25.3433333333333
"MCLELLAN 1",22.5625,26.9525,23.01,26.8175,23.2425,27.625
"MCLELLAN 2",22.34,26.7066666666667,22.82,26.62,23.0466666666667,27.34
"MCLELLAN 3",22.345,26.69,22.88,26.66,23.1,27.34
"MCLELLAN 4",22.7625,27.1025,23.275,27.1625,23.445,27.915
"MCLELLAN 5",22.9633333333333,27.17,23.4766666666667,27.4233333333333,23.5766666666667,27.96
"CASTLEBERRY 5",22.505,26.405,22.66,26.405,22.795,27.155
"CASTLEBERRY 4",22.3766666666667,26.42,22.55,26.3466666666667,22.7433333333333,27.0733333333333
"CASTLEBERRY 3",22.435,26.385,22.635,26.43,22.785,27.06
"CASTLEBERRY 2",22.32,26.41,22.58,26.4033333333333,22.76,27.02
"CASTLEBERRY 1",22.335,26.475,22.64,26.505,22.845,27.095
"BLOCTON 5",22.3275,26.7175,21.415,26.1675,21.865,26.3625
"BLOCTON 4",22.37,26.69,21.37,26.105,21.815,26.265
"BLOCTON 3",22.375,26.77,21.42,26.16,21.875,26.39
"BLOCTON 2",22.4533333333333,26.8133333333333,21.51,26.17,21.9333333333333,26.5066666666667
"BLOCTON 1",22.4166666666667,26.7833333333333,21.4666666666667,26.1266666666667,21.9266666666667,26.44
"WHITEHOUSE 5",21.7975,25.215,19.705,25.32,20.2,25.1175
"WHITEHOUSE 4",21.82,25.13,19.7033333333333,25.32,20.09,25.04
"WHITEHOUSE 3",21.68,25.09,19.6066666666667,25.2666666666667,20.0066666666667,24.9766666666667
"WHITEHOUSE 2",21.2066666666667,24.73,19.3766666666667,24.89,19.87,24.6433333333333
"WHITEHOUSE 1",21.3633333333333,25.1533333333333,19.5133333333333,25.0733333333333,20.3266666666667,25.0566666666667
"JENA 1",22.4333333333333,26.7366666666667,21.5833333333333,26.2766666666667,21.9633333333333,26.63
"JENA 2",22.435,26.71,21.54,26.275,21.965,26.62
"JENA 3",22.415,26.695,21.51,26.265,21.965,26.56
"JENA 4",22.2566666666667,26.5366666666667,21.32,26.16,21.8333333333333,26.4
"JENA 5",22.095,26.355,21.055,25.9325,21.66,26.2725
"EPES 1",22.27,26.52,21.56,26.185,21.995,26.635
"EPES 2",22.3025,26.57,21.52,26.265,22.0075,26.6925
"EPES 3",22.325,26.545,21.42,26.26,22.01,26.635
"EPES 4",22.4233333333333,26.58,21.52,26.2566666666667,21.9766666666667,26.63
"EPES 5",22.4433333333333,26.5933333333333,21.6033333333333,26.2633333333333,21.94,26.6433333333333
"ESCATAWPA 5",22.6525,26.285,22.8225,26.6575,23.3125,27.655
"ESCATAWPA 4",22.66,26.2966666666667,22.9166666666667,26.67,23.4066666666667,27.6733333333333
"ESCATAWPA 3",22.5466666666667,26.2366666666667,22.7633333333333,26.6333333333333,23.2833333333333,27.6633333333333
"ESCATAWPA 2",22.575,26.27,22.78,26.645,23.265,27.67
"ESCATAWPA 1",22.5733333333333,26.2766666666667,22.7433333333333,26.64,23.2,27.67
"GROVE HILL 1",22.6666666666667,26.7666666666667,22.1533333333333,26.1733333333333,22.42,26.8733333333333
"GROVE HILL 2",22.49,26.78,21.89,26.05,22.315,26.57
"GROVE HILL 3",22.4733333333333,26.8966666666667,21.8066666666667,25.98,22.2333333333333,26.3633333333333
"GROVE HILL 4",22.43,26.7933333333333,21.7733333333333,25.9933333333333,22.1933333333333,26.4266666666667
"GROVE HILL 5",22.3533333333333,26.74,21.81,26.0066666666667,22.26,26.5
"ELAMVILLE 1",22.185,26.24,22.655,26.75,22.935,27.22
"ELAMVILLE 2",22.325,26.4725,22.8,26.99,23.0725,27.5325
"ELAMVILLE 3",22.365,26.47,22.785,27.035,23.03,27.52
"ELAMVILLE 4",22.26,26.2325,22.6275,26.7825,22.8325,27.06
"ELAMVILLE 5",22.3866666666667,26.38,22.7866666666667,27.0266666666667,22.9533333333333,27.2966666666667
"BROOKSVILLE 5",20.9275,25.38,19.45,24.77,20.185,24.8575
"BROOKSVILLE 4",20.96,25.3866666666667,19.4966666666667,24.8266666666667,20.2333333333333,24.9066666666667
"BROOKSVILLE 3",21.2375,25.5925,19.705,25.135,20.4375,25.19
"BROOKSVILLE 2",21.3166666666667,25.5066666666667,19.75,25.1133333333333,20.48,25.2
"BROOKSVILLE 1",21.33,25.465,19.77,25.07,20.47,25.195
"CHOCCOLOCCO 1",20.7766666666667,25.2366666666667,19.95,25.1,20.7466666666667,25.22
"CHOCCOLOCCO 2",20.48,24.9666666666667,19.7566666666667,24.9033333333333,20.58,25.07
"CHOCCOLOCCO 3",20.595,25.055,19.78,24.955,20.575,25.12
