RouteDataID,CountryNum,StateNum,Route,RPID,Year,RecordedCar,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9,Car10,Car11,Car12,Car13,Car14,Car15,Car16,Car17,Car18,Car19,Car20,Car21,Car22,Car23,Car24,Car25,Car26,Car27,Car28,Car29,Car30,Car31,Car32,Car33,Car34,Car35,Car36,Car37,Car38,Car39,Car40,Car41,Car42,Car43,Car44,Car45,Car46,Car47,Car48,Car49,Car50,Noise1,Noise2,Noise3,Noise4,Noise5,Noise6,Noise7,Noise8,Noise9,Noise10,Noise11,Noise12,Noise13,Noise14,Noise15,Noise16,Noise17,Noise18,Noise19,Noise20,Noise21,Noise22,Noise23,Noise24,Noise25,Noise26,Noise27,Noise28,Noise29,Noise30,Noise31,Noise32,Noise33,Noise34,Noise35,Noise36,Noise37,Noise38,Noise39,Noise40,Noise41,Noise42,Noise43,Noise44,Noise45,Noise46,Noise47,Noise48,Noise49,Noise50
6167376,840,2,1,101,2000,1,0,2,2,2,4,6,0,1,1,0,1,2,3,2,2,0,1,2,5,4,2,4,4,0,0,6,3,4,4,6,5,4,6,6,0,2,1,4,4,0,4,4,3,2,6,3,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6246372,840,2,1,101,2001,1,0,0,2,2,0,1,0,1,1,1,2,1,0,0,0,2,1,0,2,1,0,0,2,1,2,3,2,0,0,4,3,2,0,0,0,1,1,4,1,0,2,0,1,4,1,3,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6360241,840,2,1,101,2015,1,0,2,1,2,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,3,2,0,3,2,3,3,1,0,0,5,1,5,3,0,2,0,0,1,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6362135,840,2,1,101,2016,1,0,3,2,1,1,3,0,0,0,1,2,5,3,0,0,3,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6246308,840,2,4,101,2001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
6359238,840,2,4,101,2015,1,1,3,2,1,4,2,1,4,1,1,2,3,3,1,1,5,2,4,2,3,2,1,3,4,4,1,4,3,2,0,8,4,6,5,3,3,5,6,2,6,5,8,12,20,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6361800,840,2,4,101,2016,1,3,3,2,0,0,0,0,2,1,3,1,0,2,5,0,0,1,1,1,1,1,3,3,0,2,0,2,4,5,6,7,8,5,3,6,1,1,4,7,5,12,7,25,32,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6167379,840,2,6,101,2000,1,2,1,2,1,1,0,0,2,2,4,4,3,5,2,3,6,2,2,10,3,5,3,2,6,6,2,2,2,2,2,6,35,53,55,40,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6246376,840,2,6,101,2001,1,0,1,0,2,1,1,1,0,2,2,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,4,2,3,8,4,2,40,40,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6166959,840,2,7,101,2000,1,0,0,0,2,2,0,0,0,0,1,0,2,2,0,1,1,1,1,1,2,0,0,0,3,3,2,1,1,1,2,3,2,1,2,2,3,0,0,0,0,1,2,3,1,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
