RouteDataID,CountryNum,StateNum,Route,RPID,Year,Month,Day,ObsN,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,Assistant,QualityCurrentID,RunType
6167376,840,2,1,101,2000,6,24,1000145,61,66,80,F,0,0,0,0,506,917,0,1,1
6246372,840,2,1,101,2001,6,3,1040624,58,20,19,C,0,2,1,2,506,1105,0,1,1
6360241,840,2,1,101,2015,6,7,1040624,70,73,90,F,0,0,0,0,506,1020,0,1,1
6362135,840,2,1,101,2016,5,30,1040624,63,21,29,C,0,0,0,1,506,1015,0,1,1
6246308,840,2,4,101,2001,6,9,1150777,50,69,83,F,1,0,2,1,506,1035,1,1,1
6359238,840,2,4,101,2015,6,15,1120636,56,73,85,F,0,1,1,2,510,1030,0,1,1
6361800,840,2,4,101,2016,6,11,1091291,53,70,82,F,0,0,1,2,506,1130,1,1,1
6167379,840,2,6,101,2000,6,3,1090321,49,68,85,F,0,0,0,2,502,1032,1,1,1
6246376,840,2,6,101,2001,6,9,1090321,47,67,79,F,0,0,1,1,502,1015,1,1,1
6166959,840,2,7,101,2000,6,3,1020117,45,67,77,F,0,1,2,0,502,900,0,1,1
6247939,840,2,7,101,2001,6,9,1020117,47,60,80,F,0,1,2,0,502,931,0,1,1
6358053,840,2,7,101,2015,5,30,1190801,62,20,28,C,0,2,4,0,502,1035,1,1,1
6361468,840,2,7,101,2016,5,22,1190801,61,14,23,C,1,3,2,0,502,1052,1,1,1
6167383,840,2,8,101,2000,6,17,1030385,58,70,83,F,1,2,2,1,458,1050,1,1,1
6246379,840,2,8,101,2001,6,16,1030385,56,71,81,F,1,4,2,1,503,945,0,1,1
6359868,840,2,8,101,2015,5,25,990839,68,70,85,F,1,1,0,1,515,1130,0,1,1
6362391,840,2,8,101,2016,5,30,990839,61,65,78,F,1,1,1,1,504,1013,0,1,1
6166963,840,2,10,101,2000,6,9,1150772,58,15,22,C,0,1,0,0,501,857,1,1,1
6247943,840,2,10,101,2001,6,5,1150772,58,66,67,F,0,1,1,2,501,919,1,1,1
6357603,840,2,10,501,2015,5,27,1150772,63,66,71,F,0,0,1,2,501,858,0,1,0
6361705,840,2,10,101,2016,5,31,1150772,66,64,78,F,1,1,0,0,501,900,0,1,1
6246312,840,2,12,101,2000,6,11,1020160,63,70,87,F,2,1,1,1,501,940,1,1,1
6241776,840,2,12,101,2001,6,7,1020160,65,72,82,F,0,0,1,2,501,930,1,1,1
6358608,840,2,12,101,2015,6,10,1040614,55,68,85,F,0,2,0,2,501,1045,1,1,1
6363111,840,2,12,101,2016,5,24,1040614,55,56,84,F,0,0,0,0,501,1045,1,1,1
6246317,840,2,13,101,2000,6,10,1020160,79,71,86,F,0,4,0,0,505,955,1,1,1
6234656,840,2,13,101,2001,6,1,1020160,74,75,77,F,0,1,2,2,505,945,1,1,1
6361667,840,2,13,101,2016,5,27,1070595,62,66,81,F,2,1,0,1,505,958,1,1,1
6167247,840,2,14,101,2000,5,28,1190003,67,71,82,F,1,2,2,1,505,1005,1,1,1
6246322,840,2,14,101,2001,6,3,1040614,67,68,83,F,2,0,1,2,505,1015,0,1,1
6358609,840,2,14,101,2015,6,21,1040614,59,75,90,F,0,2,1,1,505,957,1,1,1
6363282,840,2,14,101,2016,6,19,1040614,51,74,82,F,2,3,2,2,505,958,1,1,1
6167249,840,2,15,101,2000,6,3,1020160,70,68,84,F,1,2,2,2,505,1000,1,1,1
6234657,840,2,15,101,2001,6,2,1020160,56,58,72,F,0,2,1,2,505,945,1,1,1
6358035,840,2,15,101,2015,6,14,1120636,51,72,82,F,0,2,0,0,505,942,0,1,1
6246383,840,2,16,101,2001,6,10,970252,48,59,83,F,0,0,0,1,535,1005,0,1,1
6357344,840,2,16,101,2015,5,31,1080658,59,68,76,F,0,0,1,1,517,943,0,1,1
6360483,840,2,16,101,2016,6,9,1080658,58,61,77,F,1,2,0,0,509,938,0,1,1
6166968,840,2,17,101,2000,6,4,1050007,61,70,87,F,0,1,2,1,509,1056,1,1,1
6247946,840,2,17,101,2001,6,10,1050007,56,72,88,F,0,1,4,0,509,1051,1,1,1
6359849,840,2,17,101,2015,6,7,1050007,55,66,84,F,0,2,0,0,509,1048,1,1,1
6363691,840,2,17,101,2016,6,5,1050007,52,70,88,F,1,2,2,1,509,1040,1,1,1
6166973,840,2,19,101,2000,6,7,1160079,55,55,74,F,1,0,0,0,513,938,0,1,1
6247949,840,2,19,101,2001,6,8,1160079,59,68,76,F,2,1,4,0,513,905,0,1,1
6357733,840,2,19,101,2015,6,7,1080658,60,69,84,F,1,2,0,0,513,950,0,1,1
6362267,840,2,19,101,2016,6,26,1080658,52,73,86,F,0,2,0,1,513,937,0,1,1
6167251,840,2,20,101,2000,5,28,1140013,63,69,80,F,0,0,2,1,519,1012,0,1,1
6246327,840,2,20,101,2001,5,27,1140013,64,72,76,F,0,0,2,1,519,1045,0,1,1
6361690,840,2,20,101,2016,6,9,1160379,61,61,76,F,0,0,1,1,516,931,0,1,1
6167386,840,2,21,101,2000,5,25,1160079,55,74,82,F,1,3,1,2,512,940,0,1,1
6246389,840,2,21,101,2001,5,28,1160079,53,70,76,F,1,3,2,2,512,915,0,1,1
6361689,840,2,21,101,2016,6,8,1160379,52,70,83,F,0,2,0,0,512,923,0,1,1
6167253,840,2,22,101,2000,5,29,1160079,53,65,76,F,2,3,0,0,512,940,0,1,1
